"","lon","lat","dp1","dp2","dp3","dp4","dp5"
"20309",-119.65,37.05,536998.012413751,209503.600896865,332048.472697084,806384.518504023,1155650.62758191
"20310",-119.55,37.05,533165.153268852,218394.628984223,340033.503257946,810574.21827121,1158306.90296821
"20311",-119.45,37.05,529462.257476042,227286.26318177,348058.659757158,814830.89104611,1161015.67417297
"20312",-119.35,37.05,525892.074056414,236178.425768217,356121.220662197,819153.487375681,1163776.57091822
"20313",-119.25,37.05,522457.327261663,245071.049941362,364218.693075126,823540.963727362,1166589.21933028
"20314",-119.15,37.05,519160.708687631,253964.0779078,372348.790407609,827992.283158822,1169453.24214826
"20315",-119.05,37.05,516004.869053451,262857.459359971,380509.412464322,832506.415945984,1172368.25893058
"20316",-118.95,37.05,512992.409683396,271751.150251958,388698.627660815,837082.34017014,1175333.88625942
"20317",-118.85,37.05,510125.873735096,280645.111807841,396914.657132742,841719.042265091,1178349.73794277
"20318",-118.75,37.05,507407.737224312,289539.309712663,405155.860521248,846415.517525263,1181415.42521406
"20319",-118.65,37.05,504840.399902801,298433.713447948,413420.723244255,851170.770575869,1184530.55692912
"20320",-118.55,37.05,502426.176051843,307328.295742525,421707.845085692,855983.815806261,1187694.73976031
"20321",-118.45,37.05,500167.285259613,316223.032115958,430015.92995439,860853.677767589,1190907.57838773
"20322",-118.35,37.05,498065.84325549,325117.900496898,438343.776681903,865779.391536012,1194168.6756873
"20323",-118.25,37.05,496123.852878587,334012.880902348,446690.27074384,870760.003042683,1197477.63291568
"20324",-118.15,37.05,494343.195260929,342907.955166855,455054.376803003,875794.569371758,1200834.04989178
"20325",-118.05,37.05,492725.621307897,351803.106712735,463435.131984411,880882.159027729,1204237.52517489
"20326",-117.95,37.05,491272.743559339,360698.32035429,471831.639802936,886021.852173322,1207687.65623927
"20327",-117.85,37.05,489986.02851434,369593.582130297,480243.064673448,891212.740839309,1211184.03964506
"20328",-117.75,37.05,488866.789500775,378488.879160083,488668.62694145,896453.929107424,1214726.2712056
"20329",-117.65,37.05,487916.180167386,387384.199519445,497107.598379386,901744.533267761,1218313.94615081
"20330",-117.55,37.05,487135.188671419,396279.532133265,505559.298100005,907083.681951824,1221946.65928691
"20331",-117.45,37.05,486524.632628563,405174.866682256,514023.088843691,912470.516242509,1225624.00515214
"20332",-117.35,37.05,486085.154884426,414070.193521747,522498.373601541,917904.189762246,1229345.57816855
"20333",-117.25,37.05,485817.220157974,422965.503610687,530984.592540186,923383.868740464,1233110.97278989
"20334",-117.15,37.05,485721.112597515,431860.78844944,539481.220198168,928908.732061581,1236919.78364544
"20335",-117.05,37.05,485796.934279063,440756.040025103,547987.762926954,934477.971294626,1240771.60567982
"20336",-116.95,37.05,486044.604665552,449651.250763303,556503.756552581,940090.790705621,1244666.03428881
"20337",-116.85,37.05,486463.861033576,458546.413485626,565028.764236585,945746.407253782,1248602.66545103
"20338",-116.75,37.05,487054.25986237,467441.521371875,573562.37451705,951444.050572584,1252581.09585575
"20339",-116.65,37.05,487815.179167966,476336.567926586,582104.199512698,957182.962936692,1256600.9230264
"20340",-116.55,37.05,488745.82175399,485231.546949202,590653.87327471,962962.399215718,1260661.74544033
"20341",-116.45,37.05,489845.219339726,494126.452507477,599211.050272549,968781.626815735,1264763.16264431
"20342",-116.35,37.05,491112.237516163,503021.278913705,607775.404001483,974639.92560946,1268904.77536622
"20343",-116.25,37.05,492545.581471754,511916.020703416,616346.625700724,980536.587855914,1273086.18562265
"20344",-116.15,37.05,494143.802421938,520810.672616262,624924.423172258,986470.918110437,1277306.99682262
"20345",-116.05,37.05,495905.304670108,529705.22957883,633508.519691394,992442.23312579,1281566.81386741
"20346",-115.95,37.05,497828.353222725,538599.686689141,642098.653000949,998449.861745108,1285865.24324646
"20347",-115.85,37.05,499911.081877784,547494.039202684,650694.574381808,1004493.14478744,1290201.89312956
"20348",-115.75,37.05,502151.501703811,556388.282519768,659296.047793247,1010571.43492647,1294576.37345516
"20349",-115.65,37.05,504547.509825911,565282.412174078,667902.849077105,1016684.09656319,1298988.29601504
"20350",-115.55,37.05,507096.898436169,574176.423822291,676514.765220383,1022830.505693,1303437.27453528
"20351",-133.95,36.95,1606718.61685826,1063434.52579918,973545.562058549,1088281.47587003,1372281.6005873
"20352",-133.85,36.95,1598015.17505018,1054545.88983437,964846.625337707,1081889.86108863,1367420.89360369
"20353",-133.75,36.95,1589315.94807248,1045656.96111583,956149.459730283,1075527.11784461,1362592.57055198
"20354",-133.65,36.95,1580621.01449021,1036767.74216289,947454.124141034,1069193.76980911,1357796.98361335
"20355",-133.55,36.95,1571930.45451523,1027878.235494,938760.679549897,1062890.35063639,1353034.48753248
"20356",-133.45,36.95,1563244.35004981,1018988.44362673,930069.189107817,1056617.40411327,1348305.43957659
"20357",-133.35,36.95,1554562.78473161,1010098.36907784,921379.718237906,1050375.48430675,1343610.19949166
"20358",-133.25,36.95,1545885.84398007,1001208.01436323,912692.33474224,1044165.15570972,1338949.12945592
"20359",-133.15,36.95,1537213.61504415,992317.381998033,904007.108914707,1037986.99338413,1334322.59403037
"20360",-133.05,36.95,1528546.18705175,983426.474496569,895324.11366028,1031841.5831014,1329730.9601064
"20361",-132.95,36.95,1519883.65106047,974535.294372401,886643.424621138,1025729.52147957,1325174.59685035
"20362",-132.85,36.95,1511226.10011015,965643.844138352,877965.120310124,1019651.4161168,1320653.87564504
"20363",-132.75,36.95,1502573.62927693,956752.12630651,869289.282251991,1013607.88572068,1316169.17002806
"20364",-132.65,36.95,1493926.33572915,947860.143388267,860615.995133012,1007599.56023291,1311720.85562693
"20365",-132.55,36.95,1485284.31878496,938967.897894327,851945.346959509,1001627.08094873,1307309.31009092
"20366",-132.45,36.95,1476647.67997181,930075.392334737,843277.429225934,995691.100630757,1302934.91301957
"20367",-132.35,36.95,1468016.52308781,921182.629218917,834612.337093153,989792.283616318,1298598.0458878
"20368",-132.25,36.95,1459390.95426514,912289.611055667,825950.169577674,983931.305917942,1294299.09196755
"20369",-132.15,36.95,1450771.08203544,903396.340353205,817291.029752604,978108.855316213,1290038.43624598
"20370",-132.05,36.95,1442157.01739741,894502.81961919,808635.024961175,972325.631444349,1285816.46534
"20371",-131.95,36.95,1433548.87388652,885609.05136075,799982.267043747,966582.345863766,1281633.56740734
"20372",-131.85,36.95,1424946.76764712,876715.038084512,791332.872579316,960879.722129929,1277490.13205385
"20373",-131.75,36.95,1416350.8175068,867820.78229663,782686.963142556,955218.49584761,1273386.55023718
"20374",-131.65,36.95,1407761.14505333,858926.286502811,774044.665577601,949599.414714865,1269323.2141667
"20375",-131.55,36.95,1399177.87471404,850031.553208358,765406.112289825,944023.238554771,1265300.51719968
"20376",-131.45,36.95,1390601.13383789,841136.584918193,756771.441556992,938490.739334101,1261318.8537337
"20377",-131.35,36.95,1382031.05278034,832241.384136903,748140.797861291,933002.701168005,1257378.61909516
"20378",-131.25,36.95,1373467.76499095,823345.953368769,739514.332243853,927559.920309748,1253480.20942407
"20379",-131.15,36.95,1364911.40710401,814450.295117805,730892.20268358,922163.205124525,1249624.02155492
"20380",-131.05,36.95,1356362.11903219,805554.411887804,722274.574502172,916813.376046362,1245810.4528937
"20381",-130.95,36.95,1347820.0440634,796658.306182375,713661.620797487,911511.265517043,1242039.90129104
"20382",-130.85,36.95,1339285.3289609,787761.980505,705053.522907554,906257.717906004,1238312.76491157
"20383",-130.75,36.95,1330758.12406688,778865.437359063,696450.470907714,901053.589410119,1234629.44209928
"20384",-130.65,36.95,1322238.58340952,769968.679247918,687852.664143699,895899.747932251,1230990.3312392
"20385",-130.55,36.95,1313726.86481376,761071.70867493,679260.311803621,890797.072937442,1227395.8306151
"20386",-130.45,36.95,1305223.13001594,752174.528143537,670673.633532198,885746.455285594,1223846.33826355
"20387",-130.35,36.95,1296727.54478233,743277.140157318,662092.860090836,880748.79703948,1220342.25182408
"20388",-130.25,36.95,1288240.27903179,734379.547220038,653518.234067523,875805.011246909,1216883.96838575
"20389",-130.15,36.95,1279761.50696272,725481.751835728,644950.010640931,870916.021695874,1213471.8843299
"20390",-130.05,36.95,1271291.40718446,716583.756508757,636388.458403503,866082.762641524,1210106.39516948
"20391",-129.95,36.95,1262830.16285323,707685.563743903,627833.860248809,861306.178503747,1206787.89538464
"20392",-129.85,36.95,1254377.96181293,698787.176046444,619286.514329002,856587.223534269,1203516.77825499
"20393",-129.75,36.95,1245934.99674082,689888.595922234,610746.735088764,851926.861452078,1200293.43568839
"20394",-129.65,36.95,1237501.46529845,680989.825877802,602214.854382838,847326.065046085,1197118.25804648
"20395",-129.55,36.95,1229077.57028779,672090.868420456,593691.222684952,842785.815743946,1193991.633967
"20396",-129.45,36.95,1220663.51981312,663191.726058383,585176.21039678,838307.103145993,1190913.95018299
"20397",-129.35,36.95,1212259.52744847,654292.401300775,576670.209266517,833890.924523299,1187885.59133908
"20398",-129.25,36.95,1203865.81241122,645392.896657942,568173.633927605,829538.284278936,1184906.93980484
"20399",-129.15,36.95,1195482.59974183,636493.214641454,559686.923569451,825250.193371578,1181978.37548552
"20400",-129.05,36.95,1187110.12049006,627593.357764283,551210.543753095,821027.668700665,1179100.27563014
"20401",-128.95,36.95,1178748.61190785,618693.328540958,542744.988386339,816871.732452421,1176273.01463723
"20402",-128.85,36.95,1170398.31764924,609793.129487743,534290.78187446,812783.41140617,1173496.96385825
"20403",-128.75,36.95,1162059.48797749,600892.763122811,525848.481464403,808763.736200432,1170772.49139902
"20404",-128.65,36.95,1153732.37997962,591992.231966446,517418.679802468,804813.740558463,1168099.96191918
"20405",-128.55,36.95,1145417.2577889,583091.538541262,509002.007727732,800934.460473022,1165479.73643001
"20406",-128.45,36.95,1137114.39281532,574190.685372438,500599.137326098,797126.933350277,1162912.17209067
"20407",-128.35,36.95,1128824.06398446,565289.674987982,492210.785272751,793392.197112944,1160397.62200324
"20408",-128.25,36.95,1120546.55798517,556388.509919001,483837.716494058,789731.289262898,1157936.43500661
"20409",-128.15,36.95,1112282.16952618,547487.192700019,475480.748183713,786145.245903716,1155528.95546956
"20410",-128.05,36.95,1104031.20160217,538585.725869311,467140.754212036,782635.10072375,1153175.52308316
"20411",-127.95,36.95,1095793.96576961,529684.111969274,458818.669972076,779201.883940575,1150876.47265292
"20412",-127.85,36.95,1087570.78243264,520782.353546839,450515.497711456,775846.62120786,1148632.13389065
"20413",-127.75,36.95,1079361.98113947,511880.453153922,442232.312404869,772570.332485904,1146442.83120661
"20414",-127.65,36.95,1071167.90088965,502978.41334791,433970.268228899,769374.03087735,1144308.88350189
"20415",-127.55,36.95,1062988.89045269,494076.236692223,425730.605708409,766258.721429796,1142230.60396159
"20416",-127.45,36.95,1054825.30869822,485173.925756922,417514.659612305,763225.399907274,1140208.29984888
"20417",-127.35,36.95,1046677.5249384,476271.483119378,409323.867686061,760275.051532815,1138242.2723002
"20418",-127.25,36.95,1038545.91928288,467368.911365032,401159.780319218,757408.64970457,1136332.81612209
"20419",-127.15,36.95,1030430.88300666,458466.213088232,393024.071258106,754627.154688183,1134480.21958972
"20420",-127.05,36.95,1022332.81893156,449563.390893172,384918.549487555,751931.512288405,1132684.76424749
"20421",-126.95,36.95,1014252.1418215,440660.447394945,376845.172420335,749322.652503127,1130946.72471204
"20422",-126.85,36.95,1006189.27879234,431757.385220718,368806.060549705,746801.488163288,1129266.36847789
"20423",-126.75,36.95,998144.669736488,422854.207011067,360803.51373868,744368.913562343,1127643.95572607
"20424",-126.65,36.95,990118.767763082,413950.915421469,352840.02933965,742025.803079161,1126079.73913598
"20425",-126.55,36.95,982112.039653997,405047.513123999,344918.322359425,739773.009798476,1124573.96370083
"20426",-126.45,36.95,974124.966336372,396144.002809258,337041.347907812,737611.364133174,1123126.86654689
"20427",-126.35,36.95,966158.043372082,387240.387188548,329212.32619169,735541.672452888,1121738.67675694
"20428",-126.25,36.95,958211.781464765,378336.668996375,321434.770340988,733564.715723519,1120409.61519815
"20429",-126.15,36.95,950286.706984858,369432.850993299,313712.517376592,731681.248162448,1119139.89435462
"20430",-126.05,36.95,942383.362513261,360528.935969205,306049.762651895,729891.995914273,1117929.71816499
"20431",-125.95,36.95,934502.307404093,351624.926747082,298451.098117069,728197.655752043,1116779.28186536
"20432",-125.85,36.95,926644.118367126,342720.826187371,290921.554765098,726598.893808941,1115688.7718377
"20433",-125.75,36.95,918809.390070396,333816.637193026,283466.649616985,725096.344345463,1114658.36546414
"20434",-125.65,36.95,910998.735763513,324912.362715392,276092.437584201,723690.608557039,1113688.23098733
"20435",-125.55,36.95,903212.78792218,316008.00576108,268805.568501562,722382.253427093,1112778.52737712
"20436",-125.45,36.95,895452.198914395,307103.569400044,261613.349542348,721171.81063037,1111929.40420389
"20437",-125.35,36.95,887717.641688813,298199.05677509,254523.813095703,720059.775491289,1111141.00151856
"20438",-125.25,36.95,880009.810485699,289294.47111315,247545.789986151,719046.606001936,1110413.44973978
"20439",-125.15,36.95,872329.421570854,280389.815738696,240688.98762346,718132.72190407,1109746.86954824
"20440",-125.05,36.95,864677.213992907,271485.094089801,233964.072260568,717318.503839378,1109141.37178848
"20441",-124.95,36.95,857053.950364265,262580.309737458,227382.753975023,716604.292571859,1108597.05737833
"20442",-124.85,36.95,849460.417665965,253675.466408965,220957.872238924,715990.388286039,1108114.01722609
"20443",-124.75,36.95,841897.428076641,244770.568016427,214703.478966805,715477.049964293,1107692.33215569
"20444",-124.65,36.95,834365.819825697,235865.61869169,208634.914697547,715064.4948463,1107332.07284
"20445",-124.55,36.95,826866.458070709,226960.622829522,202768.872058147,714752.897973224,1107033.29974225
"20446",-124.45,36.95,819400.235798992,218055.585141354,197123.438885758,714542.391818845,1106796.06306586
"20447",-124.35,36.95,811968.074753108,209150.510722752,191718.111413739,714433.066009445,1106620.40271272
"20448",-124.25,36.95,804570.926380028,200245.405138902,186573.765900539,714424.967133831,1106506.34824993
"20449",-124.15,36.95,797209.772803414,191340.274533942,181712.575251991,714518.098644449,1106453.91888511
"20450",-124.05,36.95,789885.627818449,182435.125772331,177157.855953312,714712.420850034,1106463.12345043
"20451",-123.95,36.95,782599.537908334,173529.966623739,172933.830535732,715007.850999892,1106533.96039519
"20452",-123.85,36.95,775352.583281429,164624.806007921,169065.292531263,715404.263459348,1106666.4177871
"20453",-123.75,36.95,768145.878927779,155719.654323648,165577.165135486,715901.489975519,1106860.4733223
"20454",-123.65,36.95,760980.575693477,146814.523897292,162493.952186419,716499.32003209,1107116.09434393
"20455",-123.55,36.95,753857.861371056,137909.429605223,159839.090765555,717197.501291366,1107433.23786937
"20456",-123.45,36.95,746778.96180378,129004.389753964,157634.228217018,717995.740121422,1107811.85062604
"20457",-123.35,36.95,739745.142001329,120099.427351847,155898.461182493,718893.70220583,1108251.86909565
"20458",-123.25,36.95,732757.707264052,111194.571991673,154647.587875422,719891.01323301,1108753.21956693
"20459",-123.15,36.95,725818.004312446,102289.862716573,153893.434092747,720987.259661935,1109315.81819657
"20460",-123.05,36.95,718927.42241815,93385.3525252466,153643.315269508,722181.989560611,1109939.57107843
"20461",-122.95,36.95,712087.394532224,84481.1157258215,153899.689192467,723474.713513411,1110624.37432074
"20462",-122.85,36.95,705299.398405847,75577.2604868508,154660.036812544,724864.90559314,1111370.11413127
"20463",-122.75,36.95,698564.957698161,66673.9514419304,155916.984387064,726352.004393439,1112176.66691016
"20464",-122.65,36.95,691885.643065158,57771.4531882854,157658.653395283,727935.414116972,1113043.8993504
"20465",-122.55,36.95,685263.073222978,48870.22130571,159869.200524677,729614.505714652,1113971.66854566
"20466",-122.45,36.95,678698.915978194,39971.1149092819,162529.492956399,731388.618071065,1114959.82210524
"20467",-122.35,36.95,672194.889216839,31075.9740623502,165617.856611357,733257.059231179,1116008.19827613
"20468",-122.25,36.95,665752.761843253,22189.5839720889,169110.836933463,735219.107663294,1117116.62607163
"20469",-122.15,36.95,659374.354658773,13329.47737487,172983.921135262,737274.013553288,1118284.92540665
"20470",-122.05,36.95,653061.541169546,4648.49450331549,177212.184490141,739421.000125128,1119512.90723912
"20471",-121.95,36.95,646816.248311676,4917.15475475829,181770.838053983,741659.264982705,1120800.37371755
"20472",-121.85,36.95,640640.457080998,13615.6047776835,186635.66866149,743987.981468123,1122147.11833423
"20473",-121.75,36.95,634536.20305374,22477.2589828028,191783.372700766,746406.300031669,1123552.92608396
"20474",-121.65,36.95,628505.576783294,31364.0796525462,197191.792517209,748913.349608826,1125017.573628
"20475",-121.55,36.95,622550.724057295,40259.3980309154,202840.068528567,751508.238999822,1126540.82946288
"20476",-121.45,36.95,616673.845998148,49158.5941816348,208708.721834782,754190.058247392,1128122.45409396
"20477",-121.35,36.95,610877.198989152,58059.8774760043,214779.681996711,756957.880008644,1129762.2002132
"20478",-121.25,36.95,605163.094407369,66962.4077429411,221036.273413242,759810.760917068,1131459.81288112
"20479",-121.15,36.95,599533.898143447,75865.7379250246,227463.171893466,762747.742930997,1133215.02971244
"20480",-121.05,36.95,593992.029887827,84769.6077184643,234046.340993081,765767.854665035,1135027.58106522
"20481",-120.95,36.95,588539.962161935,93673.8548433304,240772.955715269,768870.112701201,1136897.19023316
"20482",-120.85,36.95,583180.219072434,102578.372508886,247631.319407963,772053.522876809,1138823.57364075
"20483",-120.75,36.95,577915.374766156,111483.087257074,254610.778184442,775317.081546294,1140806.44104108
"20484",-120.65,36.95,572748.051563106,120387.946636721,261701.63596429,778659.776814522,1142845.49571578
"20485",-120.55,36.95,567680.917744956,129292.911970261,268895.072259135,782080.589739298,1144940.43467713
"20486",-120.45,36.95,562716.684976777,138197.953916514,276183.064079675,785578.495501066,1147090.94887169
"20487",-120.35,36.95,557858.105340336,147103.049644927,283558.312780412,789152.46453806,1149296.72338551
"20488",-120.25,36.95,553107.967958375,156008.180977472,291014.176249499,792801.463645327,1151557.43765029
"20489",-120.15,36.95,548469.095190637,164913.333132519,298544.60656099,796524.457036376,1153872.76565056
"20490",-120.05,36.95,543944.338384327,173818.493854785,306144.093007372,800320.407366338,1156242.37613133
"20491",-119.95,36.95,539536.57316405,182723.652799687,313807.610299299,804188.276715794,1158665.93280609
